haul_id,lat,lon,year,month,day,species,no_m2,period,national_haul_id,yday,X,Y,temp,chl,depth
1993_02_08_1,57.193333333333335,11.653333333333334,1993,2,8,Agonus cataphractus,0,old,NA,39,660.3239518119443,6342.028268658215,3.399668835055479,0.9953254442061147,48.363121032714844
1993_02_08_1,57.193333333333335,11.653333333333334,1993,2,8,Ammodytidae,0.007903574186197826,old,NA,39,660.3239518119443,6342.028268658215,3.399668835055479,0.9953254442061147,48.363121032714844
1993_02_08_1,57.193333333333335,11.653333333333334,1993,2,8,Anguilla anguilla,0.007903574186197826,old,NA,39,660.3239518119443,6342.028268658215,3.399668835055479,0.9953254442061147,48.363121032714844
1993_02_08_1,57.193333333333335,11.653333333333334,1993,2,8,Aphia minuta,0.015807148372395653,old,NA,39,660.3239518119443,6342.028268658215,3.399668835055479,0.9953254442061147,48.363121032714844
1993_02_08_1,57.193333333333335,11.653333333333334,1993,2,8,Chirolophis ascanii,0,old,NA,39,660.3239518119443,6342.028268658215,3.399668835055479,0.9953254442061147,48.363121032714844
1993_02_08_1,57.193333333333335,11.653333333333334,1993,2,8,Clupea harengus,0.031614296744791305,old,NA,39,660.3239518119443,6342.028268658215,3.399668835055479,0.9953254442061147,48.363121032714844
1993_02_08_1,57.193333333333335,11.653333333333334,1993,2,8,Crystallogobius linearis,0.023710722558593477,old,NA,39,660.3239518119443,6342.028268658215,3.399668835055479,0.9953254442061147,48.363121032714844
1993_02_08_1,57.193333333333335,11.653333333333334,1993,2,8,Microstomus kitt,0,old,NA,39,660.3239518119443,6342.028268658215,3.399668835055479,0.9953254442061147,48.363121032714844
1993_02_08_1,57.193333333333335,11.653333333333334,1993,2,8,Myoxocephalus scorpius,0,old,NA,39,660.3239518119443,6342.028268658215,3.399668835055479,0.9953254442061147,48.363121032714844
1993_02_08_1,57.193333333333335,11.653333333333334,1993,2,8,Pholis gunnellus,0.007903574186197826,old,NA,39,660.3239518119443,6342.028268658215,3.399668835055479,0.9953254442061147,48.363121032714844
1993_02_08_1,57.193333333333335,11.653333333333334,1993,2,8,Pomatoschistus sp,0.015807148372395653,old,NA,39,660.3239518119443,6342.028268658215,3.399668835055479,0.9953254442061147,48.363121032714844
1993_02_08_1,57.193333333333335,11.653333333333334,1993,2,8,Syngnathus rostellatus,0,old,NA,39,660.3239518119443,6342.028268658215,3.399668835055479,0.9953254442061147,48.363121032714844
1993_02_09_2,56.31333333333333,12.378333333333334,1993,2,9,Agonus cataphractus,0,old,NA,40,708.9448243218138,6246.081677333326,2.9622544811618354,1.168255502177823,26.981956481933594
1993_02_09_2,56.31333333333333,12.378333333333334,1993,2,9,Ammodytidae,0,old,NA,40,708.9448243218138,6246.081677333326,2.9622544811618354,1.168255502177823,26.981956481933594
1993_02_09_2,56.31333333333333,12.378333333333334,1993,2,9,Anguilla anguilla,0,old,NA,40,708.9448243218138,6246.081677333326,2.9622544811618354,1.168255502177823,26.981956481933594
1993_02_09_2,56.31333333333333,12.378333333333334,1993,2,9,Aphia minuta,0.0037209747496081804,old,NA,40,708.9448243218138,6246.081677333326,2.9622544811618354,1.168255502177823,26.981956481933594
